2024-04-15 15:21:46 | INFO | model_worker | Loading the model ['chatglm3-6b'] on worker 64ceee6e ...
2024-04-15 15:21:46 | ERROR | stderr | Loading checkpoint shards:   0%|          | 0/7 [00:00<?, ?it/s]
2024-04-15 15:22:04 | ERROR | stderr | Loading checkpoint shards:  14%|█▍        | 1/7 [00:17<01:45, 17.64s/it]
2024-04-15 15:22:23 | ERROR | stderr | Loading checkpoint shards:  29%|██▊       | 2/7 [00:36<01:32, 18.51s/it]
2024-04-15 15:22:42 | ERROR | stderr | Loading checkpoint shards:  43%|████▎     | 3/7 [00:55<01:14, 18.73s/it]
2024-04-15 15:23:00 | ERROR | stderr | Loading checkpoint shards:  57%|█████▋    | 4/7 [01:14<00:55, 18.56s/it]
2024-04-15 15:23:20 | ERROR | stderr | Loading checkpoint shards:  71%|███████▏  | 5/7 [01:34<00:38, 19.08s/it]
2024-04-15 15:23:34 | ERROR | stderr | Loading checkpoint shards:  86%|████████▌ | 6/7 [01:48<00:17, 17.37s/it]
2024-04-15 15:23:39 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 7/7 [01:52<00:00, 13.20s/it]
2024-04-15 15:23:39 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 7/7 [01:52<00:00, 16.10s/it]
2024-04-15 15:23:39 | ERROR | stderr | 
2024-04-15 15:23:39 | INFO | model_worker | Register to controller
2024-04-15 15:23:39 | ERROR | stderr | INFO:     Started server process [2363136]
2024-04-15 15:23:39 | ERROR | stderr | INFO:     Waiting for application startup.
2024-04-15 15:23:39 | ERROR | stderr | INFO:     Application startup complete.
2024-04-15 15:23:39 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:20002 (Press CTRL+C to quit)
2024-04-15 15:23:52 | INFO | stdout | INFO:     127.0.0.1:39964 - "POST /worker_get_conv_template HTTP/1.1" 200 OK
2024-04-15 15:23:52 | INFO | stdout | INFO:     127.0.0.1:39972 - "POST /model_details HTTP/1.1" 200 OK
2024-04-15 15:23:52 | INFO | stdout | INFO:     127.0.0.1:39986 - "POST /count_token HTTP/1.1" 200 OK
2024-04-15 15:23:52 | INFO | stdout | INFO:     127.0.0.1:39988 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2024-04-15 15:24:13 | INFO | stdout | INFO:     127.0.0.1:39424 - "POST /model_details HTTP/1.1" 200 OK
2024-04-15 15:24:13 | INFO | stdout | INFO:     127.0.0.1:39434 - "POST /count_token HTTP/1.1" 200 OK
2024-04-15 15:24:13 | INFO | stdout | INFO:     127.0.0.1:39450 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2024-04-15 15:24:24 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=4, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:25:09 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:25:54 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:26:39 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:27:24 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:28:09 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:28:54 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:29:39 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:30:24 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:31:09 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:31:54 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:32:39 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:33:24 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:34:10 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:34:55 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:35:40 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:36:25 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:37:10 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:37:55 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:38:40 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:39:25 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:40:10 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:40:55 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:41:40 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:42:25 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:43:10 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:43:55 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:44:40 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:45:25 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:46:10 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:46:55 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:47:40 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:48:25 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:49:10 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:49:55 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:50:41 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:51:26 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:52:11 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:52:56 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:53:41 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:54:26 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:55:11 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:55:56 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:56:41 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:57:26 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:58:11 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:58:56 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 15:59:41 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 16:00:26 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 16:01:11 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 16:01:56 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 16:02:41 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 16:03:26 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 16:04:11 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
2024-04-15 16:04:56 | INFO | model_worker | Send heart beat. Models: ['chatglm3-6b']. Semaphore: Semaphore(value=5, locked=False). call_ct: 2. worker_id: 64ceee6e. 
